epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,65.5045,0.81068,0.85571,1,0.4148,0.0670943,0.000332381,0.000332381
2,129.122,0.42768,0.95571,1,0.13928,0.0340811,0.000652533,0.000652533
3,192.394,0.34088,0.95786,1,0.12709,0.00105472,0.000959485,0.000959485
4,253.156,0.28367,0.97357,1,0.07645,0.0009406,0.0009406,0.0009406
5,316.09,0.23038,0.96857,1,0.07903,0.0009208,0.0009208,0.0009208
6,379.561,0.20493,0.975,1,0.06856,0.000901,0.000901,0.000901
7,442.059,0.18165,0.97643,1,0.0741,0.0008812,0.0008812,0.0008812
8,504.714,0.1495,0.97857,1,0.05721,0.0008614,0.0008614,0.0008614
9,567.232,0.14044,0.97929,1,0.04973,0.0008416,0.0008416,0.0008416
10,629.153,0.13526,0.985,1,0.05,0.0008218,0.0008218,0.0008218
11,691.261,0.12599,0.98714,1,0.04061,0.000802,0.000802,0.000802
12,753.773,0.10359,0.97786,1,0.06123,0.0007822,0.0007822,0.0007822
13,816.305,0.10656,0.98429,1,0.05343,0.0007624,0.0007624,0.0007624
14,878.906,0.09759,0.97929,1,0.04882,0.0007426,0.0007426,0.0007426
15,941.184,0.09756,0.98786,1,0.0329,0.0007228,0.0007228,0.0007228
16,1002.96,0.08096,0.98571,1,0.03652,0.000703,0.000703,0.000703
17,1062.52,0.08429,0.98929,1,0.03282,0.0006832,0.0006832,0.0006832
18,1124.91,0.08132,0.98571,1,0.0401,0.0006634,0.0006634,0.0006634
19,1185.29,0.07524,0.98714,1,0.04416,0.0006436,0.0006436,0.0006436
20,1246.85,0.07791,0.98857,1,0.04074,0.0006238,0.0006238,0.0006238
21,1308.97,0.07012,0.98857,1,0.03611,0.000604,0.000604,0.000604
22,1371.96,0.06317,0.98571,1,0.03514,0.0005842,0.0005842,0.0005842
23,1435.92,0.0558,0.99214,1,0.02767,0.0005644,0.0005644,0.0005644
24,1498.91,0.06482,0.98786,1,0.03637,0.0005446,0.0005446,0.0005446
25,1561.91,0.05256,0.99071,1,0.02712,0.0005248,0.0005248,0.0005248
26,1626.95,0.0498,0.99214,1,0.02607,0.000505,0.000505,0.000505
27,1694.92,0.05173,0.98786,1,0.03371,0.0004852,0.0004852,0.0004852
28,1760.37,0.04746,0.99429,1,0.02051,0.0004654,0.0004654,0.0004654
29,1824.27,0.03732,0.99214,1,0.02226,0.0004456,0.0004456,0.0004456
30,1887.88,0.04742,0.99143,1,0.02451,0.0004258,0.0004258,0.0004258
31,1954.18,0.05226,0.99357,1,0.02178,0.000406,0.000406,0.000406
32,2019.41,0.04424,0.99214,1,0.02269,0.0003862,0.0003862,0.0003862
33,2083.86,0.03644,0.98929,1,0.03222,0.0003664,0.0003664,0.0003664
34,2146.66,0.03799,0.99143,1,0.03331,0.0003466,0.0003466,0.0003466
35,2209.79,0.0371,0.99071,1,0.02663,0.0003268,0.0003268,0.0003268
36,2272.34,0.03517,0.99357,1,0.02019,0.000307,0.000307,0.000307
37,2335.34,0.03432,0.99,1,0.02888,0.0002872,0.0002872,0.0002872
38,2397.86,0.029,0.99071,1,0.03061,0.0002674,0.0002674,0.0002674
